,id
850,48208
851,5931
852,45631
853,45630
854,45633
855,5930
856,48207
857,48206
858,45637
859,45636
860,9191
861,9190
862,7946
863,9192
864,7940
865,7941
866,7942
867,9196
868,9199
869,9198
870,7948
871,7949
872,42177
873,42176
874,42175
875,42174
876,16918
877,42172
878,42171
879,42170
880,16914
881,16915
882,16916
883,16917
884,16910
885,16911
886,42179
887,42178
888,12208
889,12209
890,12204
891,12205
892,12206
893,12207
894,12200
895,12201
896,12202
897,12203
898,693
899,38643
900,29358
901,29359
902,10518
903,10519
904,10512
905,10513
906,10510
907,10511
908,10516
909,10517
910,10514
911,10515
912,8866
913,8867
914,8864
915,8865
916,21408
917,21409
918,8860
919,8861
920,21404
921,21405
922,21406
923,21407
924,21400
925,21401
926,21402
927,8869
928,34034
929,26834
930,26835
931,26836
932,26837
933,26830
934,26831
935,26832
936,26833
937,26838
938,26839
939,48004
940,37434
941,4571
942,37435
943,30418
944,12029
945,17476
946,697
947,54035
948,54034
949,54037
950,54036
951,54031
952,54030
953,24579
954,24578
955,24577
956,24576
957,24575
958,24574
959,54039
960,54038
961,24571
962,24570
963,58558
964,58559
965,344
966,28403
967,28402
968,58550
969,28400
970,28407
971,58557
972,58554
973,58555
974,29342
975,34329
976,34328
977,34327
978,34326
979,34325
980,34324
981,34323
982,34322
983,34321
984,34320
985,345
986,35058
987,35059
988,35056
989,35057
990,35054
991,35055
992,35052
993,35053
994,35050
995,35051
996,35348
997,55128
998,55129
999,346
1000,55120
1001,55121
1002,55122
1003,55123
1004,55124
1005,55125
1006,55126
1007,55127
1008,52549
1009,347
1010,36459
1011,698
1012,23718
1013,23719
1014,23716
1015,23717
1016,23714
1017,23715
1018,23712
1019,23713
1020,23710
